Core Project Number,Affilation,Authors ,	Country,	ISSN,Journal Issue,Journal (Link to PubMed abstract) ,Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central) ,PUB Year,Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Clinical Trials cited
U01EB021237,"Center for Personal Dynamic Regulomes, Stanford University, Stanford, California, USA.","Chen, Xingqi; Shen, Ying; Draper, Will; Buenrostro, Jason D; Litzenburger, Ulrike; Cho, Seung Woo; Satpathy, Ansuman T; Carter, Ava C; Ghosh, Rajarshi P; East-Seletsky, Alexandra; Doudna, Jennifer A; Greenleaf, William J; Liphardt, Jan T; Chang, Howard Y","United States",1548-7105,"12","Nature methods.","Nat Methods",13,eng,"1013-1020",5509561,27749837,2016 Dec;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5509561/' target='_blank'>ATAC-see reveals the accessible genome by transposase-mediated imaging and sequencing.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27749837&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27749837' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5509561&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27749837' target='_blank'>Cited By, Google</a>",
U01EB021240,"Department of Bioengineering, Stanford University, Stanford, California, USA.","Gao, Yuchen; Xiong, Xin; Wong, Spencer; Charles, Emeric J; Lim, Wendell A; Qi, Lei S","United States",1548-7105,"12","Nature methods.","Nat Methods",13,eng,"1043-1049",5436902,27776111,2016 Dec;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5436902/' target='_blank'>Complex transcriptional modulation with orthogonal and inducible dCas9 regulators.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27776111&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27776111' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5436902&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27776111' target='_blank'>Cited By, Google</a>",
U54DK107981,"Molecular and Computational Biology, University of Southern California, Los Angeles, CA 90033, USA.","Shin, Hanjun; Shi, Yi; Dai, Chao; Tjong, Harianto; Gong, Ke; Alber, Frank; Zhou, Xianghong Jasmine","England",1362-4962,"7","Nucleic acids research.","Nucleic Acids Res",44,eng,"e70",4838359,26704975,2016 Apr 20;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4838359/' target='_blank'>TopDom: an efficient and deterministic method for identifying topological domains in genomes.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=26704975&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/26704975' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=4838359&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/26704975' target='_blank'>Cited By, Google</a>",
U54DK107965,"Department of Bioengineering, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA.","Hou, Jack P; Emad, Amin; Puleo, Gregory J; Ma, Jian; Milenkovic, Olgica","England",1367-4811,"24","Bioinformatics (Oxford, England).","Bioinformatics",32,eng,"3717-3728",6078169,27540270,2016 12 15;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6078169/' target='_blank'>A new correlation clustering method for cancer mutation analysis.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27540270&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27540270' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6078169&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27540270' target='_blank'>Cited By, Google</a>",
U54DK107977,"Ludwig Institute for Cancer Research and the University of California, San Diego (UCSD) Biomedical Sciences Graduate Program, 9500 Gilman Drive, La Jolla, California 92093, USA.","Schmitt, Anthony D; Hu, Ming; Ren, Bing","England",1471-0080,"12","Nature reviews. Molecular cell biology.","Nat Rev Mol Cell Biol",17,eng,"743-755",5763923,27580841,2016 12;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5763923/' target='_blank'>Genome-wide mapping and analysis of chromosome architecture.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27580841&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27580841' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5763923&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27580841' target='_blank'>Cited By, Google</a>",
U54DK107967,"Centre of New Technologies, Warsaw University, 02-097 Warsaw, Poland.","Sza?aj, Przemys?aw; Tang, Zhonghui; Michalski, Paul; Pietal, Michal J; Luo, Oscar J; Sadowski, Micha?; Li, Xingwang; Radew, Kamen; Ruan, Yijun; Plewczynski, Dariusz","United States",1549-5469,"12","Genome research.","Genome Res",26,eng,"1697-1709",5131821,27789526,2016 12;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5131821/' target='_blank'>An integrated 3-Dimensional Genome Modeling Engine for data-driven simulation of spatial genome organization.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27789526&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27789526' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5131821&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27789526' target='_blank'>Cited By, Google</a>",
U54DK107977,"Ludwig Institute for Cancer Research, La Jolla, CA 92093, USA.","Fang, Rongxin; Yu, Miao; Li, Guoqiang; Chee, Sora; Liu, Tristin; Schmitt, Anthony D; Ren, Bing","England",1748-7838,"12","Cell research.","Cell Res",26,eng,"1345-1348",5143423,27886167,2016 12;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5143423/' target='_blank'>Mapping of long-range chromatin interactions by proximity ligation-assisted ChIP-seq.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27886167&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27886167' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5143423&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27886167' target='_blank'>Cited By, Google</a>",
U01EB021236,"Department of Molecular and Cell Biology, University of California, Berkeley, United States.","Teves, Sheila S; An, Luye; Hansen, Anders S; Xie, Liangqi; Darzacq, Xavier; Tjian, Robert","England",2050-084X,"","eLife.","Elife",5,eng,"",5156526,27855781,2016 11 19;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5156526/' target='_blank'>A dynamic mode of mitotic bookmarking by transcription factors.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27855781&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27855781' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5156526&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27855781' target='_blank'>Cited By, Google</a>",
U54DK107977,"Ludwig Institute for Cancer Research, La Jolla, CA 92093, USA; UCSD Biomedical Sciences Graduate Program, University of California, San Diego, 9500 Gilman Drive, La Jolla, CA 92093, USA.","Schmitt, Anthony D; Hu, Ming; Jung, Inkyung; Xu, Zheng; Qiu, Yunjiang; Tan, Catherine L; Li, Yun; Lin, Shin; Lin, Yiing; Barr, Cathy L; Ren, Bing","United States",2211-1247,"8","Cell reports.","Cell Rep",17,eng,"2042-2059",5478386,27851967,2016 11 15;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5478386/' target='_blank'>A Compendium of Chromatin Contact Maps Reveals Spatially Active Regions in the Human Genome.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27851967&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27851967' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5478386&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27851967' target='_blank'>Cited By, Google</a>",
U01DA040582,"Department of Anatomy, University of California San Francisco, San Francisco, CA 94158, USA; Physical Biosciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA 94720, USA; National Center for X-Ray Tomography, University of California San Francisco, San Francisco, CA 94158, USA; Lawrence Berkeley National Laboratory, Berkeley, CA 94720, USA.","Le Gros, Mark A; Clowney, E Josephine; Magklara, Angeliki; Yen, Angela; Markenscoff-Papadimitriou, Eirene; Colquitt, Bradley; Myllys, Markko; Kellis, Manolis; Lomvardas, Stavros; Larabell, Carolyn A","United States",2211-1247,"8","Cell reports.","Cell Rep",17,eng,"2125-2136",5135017,27851973,2016 11 15;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5135017/' target='_blank'>Soft X-Ray Tomography Reveals Gradual Chromatin Compaction and Reorganization during Neurogenesis In Vivo.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27851973&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27851973' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5135017&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27851973' target='_blank'>Cited By, Google</a>",
U54DK107979,"Department of Genome Sciences, University of Washington, Seattle, Washington, USA.","Ramani, Vijay; Cusanovich, Darren A; Hause, Ronald J; Ma, Wenxiu; Qiu, Ruolan; Deng, Xinxian; Blau, C Anthony; Disteche, Christine M; Noble, William S; Shendure, Jay; Duan, Zhijun","England",1750-2799,"11","Nature protocols.","Nat Protoc",11,eng,"2104-21",5547819,27685100,2016 11;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5547819/' target='_blank'>Mapping 3D genome architecture through in situ DNase Hi-C.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27685100&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27685100' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5547819&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27685100' target='_blank'>Cited By, Google</a>",
U01HL130010,"Center for Theoretical Biological Physics, Rice University, Houston, TX 77005; michele.dipierro@rice.edu pwolynes@rice.edu jonuchic@rice.edu.","Di Pierro, Michele; Zhang, Bin; Aiden, Erez Lieberman; Wolynes, Peter G; Onuchic, José N","United States",1091-6490,"43","Proceedings of the National Academy of Sciences of the United States of America.","Proc Natl Acad Sci U S A",113,eng,"12168-12173",5087044,27688758,2016 10 25;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087044/' target='_blank'>Transferable model for chromosome architecture.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27688758&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27688758' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5087044&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27688758' target='_blank'>Cited By, Google</a>",
U01HL129958,"Baker Institute for Animal Health, College of Veterinary Medicine, Cornell University, Ithaca, NY, USA.","Wang, Zhong; Martins, André L; Danko, Charles G","England",1367-4811,"19","Bioinformatics (Oxford, England).","Bioinformatics",32,eng,"3024-6",5039921,27288497,2016 10 01;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5039921/' target='_blank'>RTFBSDB: an integrated framework for transcription factor binding site analysis.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27288497&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27288497' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5039921&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27288497' target='_blank'>Cited By, Google</a>",
U54DK107965,"Department of Bioengineering, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA Carl R. Woese Institute for Genomic Biology, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA.","Tian, Dechao; Gu, Quanquan; Ma, Jian","England",1362-4962,"17","Nucleic acids research.","Nucleic Acids Res",44,eng,"e140",5041474,27378774,2016 09 30;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5041474/' target='_blank'>Identifying gene regulatory network rewiring using latent differential graphical models.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27378774&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27378774' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5041474&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27378774' target='_blank'>Cited By, Google</a>",
U54DK107977,"Department of Biostatistics Department of Genetics Department of Computer Science.","Xu, Zheng; Zhang, Guosheng; Wu, Cong; Li, Yun; Hu, Ming","England",1367-4811,"17","Bioinformatics (Oxford, England).","Bioinformatics",32,eng,"2692-5",5013904,27153668,2016 09 01;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5013904/' target='_blank'>FastHiC: a fast and accurate algorithm to detect long-range chromosomal interactions from Hi-C data.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27153668&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27153668' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5013904&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27153668' target='_blank'>Cited By, Google</a>",
U54DK107980,"Department of Molecular Biosciences, Northwestern University, Evanston, IL, 60208, USA.","Eastland, Adrienne; Hornick, Jessica; Kawamura, Ryo; Nanavati, Dhaval; Marko, John F","Netherlands",1573-6849,"3","Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology.","Chromosome Res",24,eng,"339-53",4970972,27145786,2016 09;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4970972/' target='_blank'>Dependence of the structure and mechanics of metaphase chromosomes on oxidized cysteines.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27145786&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27145786' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=4970972&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27145786' target='_blank'>Cited By, Google</a>",
U54DK107965,"Department of Biochemistry, University of Illinois at Urbana-Champaign, Urbana, IL, 61801, USA.","Tasan, Ipek; Jain, Surbhi; Zhao, Huimin","Germany",1432-1203,"9","Human genetics.","Hum Genet",135,eng,"1011-28",5002234,27250347,2016 09;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5002234/' target='_blank'>Use of genome-editing tools to treat sickle cell disease.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27250347&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27250347' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5002234&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27250347' target='_blank'>Cited By, Google</a>",
U54DK107977,"Epigenetic Regulation and Chromatin Architecture Group, Berlin Institute for Medical Systems Biology, Max-Delbrück Centre for Molecular Medicine, Berlin-Buch, Germany.","Beagrie, Robert A; Pombo, Ana","United States",1521-1878,"9","BioEssays : news and reviews in molecular, cellular and developmental biology.","Bioessays",38,eng,"881-93",,27452946,2016 09;,"Gene activation by metazoan enhancers: Diverse mechanisms stimulate distinct steps of transcription.",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27452946&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27452946' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27452946' target='_blank'>Cited By, Google</a>",
U01EB021240,"Department of Cellular and Molecular Pharmacology, University of California, San Francisco, California 94158; email: xiongxin1009@gmail.com , wendell.lim@ucsf.edu.","Xiong, Xin; Chen, Meng; Lim, Wendell A; Zhao, Dehua; Qi, Lei S","United States",1545-293X,"","Annual review of genomics and human genetics.","Annu Rev Genomics Hum Genet",17,eng,"131-54",,27216776,2016 08 31;,"CRISPR/Cas9 for Human Genome Engineering and Disease Research.",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27216776&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27216776' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27216776' target='_blank'>Cited By, Google</a>",
U01DA040588,"Department of Biochemistry and Molecular Pharmacology, University of Massachusetts Medical School, Worcester, MA 01605.","Ma, Hanhui; Tu, Li-Chun; Naseri, Ardalan; Huisman, Maximiliaan; Zhang, Shaojie; Grunwald, David; Pederson, Thoru","United States",1540-8140,"5","The Journal of cell biology.","J Cell Biol",214,eng,"529-37",5004447,27551060,2016 08 29;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5004447/' target='_blank'>CRISPR-Cas9 nuclear dynamics and target recognition in living cells.</a>",2016,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=27551060&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/27551060' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5004447&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/27551060' target='_blank'>Cited By, Google</a>",
